Scheduled time,Updated time,Arrival city,Airline,Flight number,Gate,Status,Distance,Price,,,,,,,,,,,,,
7:15 PM,7:15 PM,Chicago-Midway,Southwest,3170,C12,ON TIME,611,122.20,,,,,,,,,,,,,
8:50 PM,8:50 PM,Chicago-Midway,Southwest,2786,A8,ON TIME,611,122.20,,,,,,,,,,,,,
7:49 AM,9:20 AM,Chicago-O'Hare,American,2750,C1,ON TIME,621,124.20,,,,,,,,,,,,,
8:45 AM,9:03 AM,Chicago-O'Hare,Southwest,1227,C13,DEPARTED,621,124.20,,,,,,,,,,,,,
10:58 AM,11:10 AM,Chicago-O'Hare,United,455,D13,ON TIME,621,124.20,,,,,,,,,,,,,
11:50 AM,11:50 AM,Chicago-O'Hare,American,3943,C3,ON TIME,621,124.20,,,,,,,,,,,,,
11:55 AM,11:55 AM,Chicago-O'Hare,Southwest,569,B4,ON TIME,621,124.20,,,,,,,,,,,,,
3:10 PM,3:10 PM,Chicago-O'Hare,Southwest,2619,A13,ON TIME,621,124.20,,,,,,,,,,,,,
5:48 PM,5:48 PM,Chicago-O'Hare,United,590,D15,ON TIME,621,124.20,,,,,,,,,,,,,
9:10 PM,9:10 PM,Chicago-O'Hare,Southwest,2801,A11,ON TIME,621,124.20,,,,,,,,,,,,,
10:50 AM,10:50 AM,Cincinnati,Southwest,392,A13,ON TIME,430,86.00,,,,,,,,,,,,,
4:30 PM,4:30 PM,Cincinnati,Southwest,1971,A9,ON TIME,430,86.00,,,,,,,,,,,,,
10:45 AM,10:45 AM,Cleveland,Southwest,500,B8,ON TIME,314,62.80,,,,,,,,,,,,,
5:40 PM,5:40 PM,Cleveland,Southwest,198,A16,ON TIME,314,62.80,,,,,,,,,,,,,
10:15 AM,10:15 AM,Columbus,Southwest,2543,B4,ON TIME,337,67.40,,,,,,,,,,,,,
1:50 PM,1:50 PM,Columbus,Southwest,130,C9,ON TIME,337,67.40,,,,,,,,,,,,,
6:50 PM,6:50 PM,Columbus,Southwest,2225,A14,ON TIME,337,67.40,,,,,,,,,,,,,
10:00 AM,10:00 AM,Dallas-Ft. Worth,Spirit Airlines,667,D8,ON TIME,1217,243.40,,,,,,,,,,,,,
3:34 PM,3:34 PM,Dallas-Ft. Worth,American,2314,C3,ON TIME,1217,243.40,,,,,,,,,,,,,
7:14 PM,7:14 PM,Dallas-Ft. Worth,American,1213,C3,ON TIME,1217,243.40,,,,,,,,,,,,,
9:40 AM,9:40 AM,Dallas-Love,Southwest,5236,B14,BOARDING,1209,241.80,,,,,,,,,,,,,
12:15 PM,12:15 PM,Dallas-Love,Southwest,943,B13,ON TIME,1209,241.80,,,,,,,,,,,,,
2:00 PM,2:00 PM,Dallas-Love,Southwest,6004,B5,ON TIME,1209,241.80,,,,,,,,,,,,,
5:00 PM,5:00 PM,Dallas-Love,Southwest,642,A14,ON TIME,1209,241.80,,,,,,,,,,,,,
7:15 PM,7:15 PM,Dallas-Love,Southwest,1003,A12,ON TIME,1209,241.80,,,,,,,,,,,,,
9:15 AM,9:15 AM,Denver,Southwest,2966,B13,BOARDING,1491,298.20,,,,,,,,,,,,,
10:14 AM,10:14 AM,Denver,United,2624,D16,ON TIME,1491,298.20,,,,,,,,,,,,,
2:15 PM,2:15 PM,Denver,Southwest,2379,B10,ON TIME,1491,298.20,,,,,,,,,,,,,
4:09 PM,4:09 PM,Denver,United,393,D13,ON TIME,1491,298.20,,,,,,,,,,,,,
4:40 PM,4:59 PM,Denver,Southwest,5401,B7,ON TIME,1491,298.20,,,,,,,,,,,,,
7:05 PM,7:05 PM,Denver,Southwest,1381,A7,ON TIME,1491,298.20,,,,,,,,,,,,,
7:59 PM,7:59 PM,Denver,United,2421,D15,ON TIME,1491,298.20,,,,,,,,,,,,,
10:45 AM,10:45 AM,Detroit,Southwest,626,B12,ON TIME,409,81.80,,,,,,,,,,,,,
12:30 PM,12:30 PM,Detroit,Delta,2965,D24,ON TIME,409,81.80,,,,,,,,,,,,,
5:40 PM,5:40 PM,Detroit,Delta,2480,D23,ON TIME,409,81.80,,,,,,,,,,,,,
8:05 AM,8:15 AM,Fort Lauderdale,Southwest,3423,A14,DEPARTED,925,185.00,,,,,,,,,,,,,
9:05 AM,9:17 AM,Fort Lauderdale,Southwest,1281,A9,ON TIME,925,185.00,,,,,,,,,,,,,
11:45 AM,11:45 AM,Fort Lauderdale,Southwest,1642,B9,ON TIME,925,185.00,,,,,,,,,,,,,
1:35 PM,1:41 PM,Fort Lauderdale,Southwest,148,B12,ON TIME,925,185.00,,,,,,,,,,,,,
2:35 PM,2:35 PM,Fort Lauderdale,Spirit Airlines,1928,D8,ON TIME,925,185.00,,,,,,,,,,,,,
4:00 PM,4:00 PM,Fort Lauderdale,Southwest,2999,A16,ON TIME,925,185.00,,,,,,,,,,,,,
4:48 PM,4:48 PM,Fort Lauderdale,Spirit Airlines,1896,D14,ON TIME,925,185.00,,,,,,,,,,,,,
6:10 PM,6:10 PM,Fort Lauderdale,Southwest,2642,B15,ON TIME,925,185.00,,,,,,,,,,,,,
7:45 PM,7:45 PM,Fort Lauderdale,Southwest,2800,C13,ON TIME,925,185.00,,,,,,,,,,,,,
10:15 AM,12:17 PM,Fort Myers,Southwest,3668,A10,ON TIME,919,183.80,,,,,,,,,,,,,
4:15 PM,4:15 PM,Fort Myers,Southwest,2607,A10,ON TIME,919,183.80,,,,,,,,,,,,,
7:25 PM,7:25 PM,Fort Myers,Southwest,3880,B8,ON TIME,919,183.80,,,,,,,,,,,,,
10:00 AM,10:02 AM,Ft Walton Beach,Southwest,2107,A7,ON TIME,819,163.80,,,,,,,,,,,,,
12:25 PM,12:25 PM,Grand Rapids,Southwest,3337,B2,ON TIME,528,105.60,,,,,,,,,,,,,
3:40 PM,3:40 PM,Greenville/Spart.,Southwest,3383,B12,ON TIME,426,85.20,,,,,,,,,,,,,
8:30 AM,8:39 AM,Hartford,Southwest,2484,A13,DEPARTED,283,56.60,,,,,,,,,,,,,
10:45 AM,10:45 AM,Hartford,Southwest,533,C10,ON TIME,283,56.60,,,,,,,,,,,,,
2:15 PM,2:15 PM,Hartford,Southwest,4077,B14,ON TIME,283,56.60,,,,,,,,,,,,,
5:15 PM,5:15 PM,Hartford,Southwest,3076,C9,ON TIME,283,56.60,,,,,,,,,,,,,
10:00 AM,10:00 AM,Houston-HOU,Southwest,1404,B5,ON TIME,1246,249.20,,,,,,,,,,,,,
2:10 PM,2:10 PM,Houston-HOU,Southwest,3540,A12,ON TIME,1246,249.20,,,,,,,,,,,,,
5:50 PM,5:52 PM,Houston-HOU,Southwest,5847,B4,ON TIME,1246,249.20,,,,,,,,,,,,,
8:45 PM,8:45 PM,Houston-HOU,Southwest,2513,B10,ON TIME,1246,249.20,,,,,,,,,,,,,
12:19 PM,12:19 PM,Houston-IAH,Spirit Airlines,1780,D14,ON TIME,1235,247.00,,,,,,,,,,,,,
3:07 PM,3:07 PM,Houston-IAH,United,1381,D15,ON TIME,1235,247.00,,,,,,,,,,,,,
1:35 PM,1:35 PM,Indianapolis,Southwest,1511,B15,ON TIME,516,103.20,,,,,,,,,,,,,
5:15 PM,5:15 PM,Indianapolis,Southwest,266,A12,ON TIME,516,103.20,,,,,,,,,,,,,
8:50 AM,9:00 AM,Islip,Southwest,335,A7,DEPARTED,220,44.00,,,,,,,,,,,,,
10:55 AM,10:55 AM,Islip,Southwest,1088,A14,ON TIME,220,44.00,,,,,,,,,,,,,
3:15 PM,3:15 PM,Islip,Southwest,2091,B15,ON TIME,220,44.00,,,,,,,,,,,,,
8:25 PM,8:25 PM,Islip,Southwest,424,A14,ON TIME,220,44.00,,,,,,,,,,,,,
4:30 PM,4:30 PM,"Jackson,MS",Southwest,2257,B2,ON TIME,888,177.60,,,,,,,,,,,,,
8:20 AM,8:44 AM,Jacksonville,Southwest,1547,C14,DEPARTED,663,132.60,,,,,,,,,,,,,
12:35 PM,12:35 PM,Jacksonville,Southwest,2829,B7,ON TIME,663,132.60,,,,,,,,,,,,,
4:15 PM,4:15 PM,Jacksonville,Southwest,2211,B9,ON TIME,663,132.60,,,,,,,,,,,,,
7:30 PM,7:30 PM,Jacksonville,Southwest,2631,B4,ON TIME,663,132.60,,,,,,,,,,,,,
